 0.71968634  0.79563048  0.12625731  0.75619568  0.75177762  0.11044391
  0.16948601  0.48102074  0.47020107  0.57335797  0.85125621  0.36267432,0.514437161795 0.03423442  0.9973259   0.04880103  0.83880062  0.10888549  0.64682032
  0.46705797  0.01289295  0.21307203  0.2613174   0.83018928  0.10410226,0.350780489732 0.33378597  0.98310406  0.81877401  0.15870232  0.44860187  0.60513853
  0.03865222  0.95773321  0.45885543  0.07886903  0.09428443  0.2721922 ,0.112296135953 0.69180605  0.45347662  0.03060275  0.15472035  0.38315073  0.89050138
  0.27276113  0.68313474  0.17556346  0.29695519  0.82657728  0.79640636,-0.0925425109631 0.25982258  0.75235127  0.86522893  0.7071621   0.39479893  0.46683654
  0.82139933  0.4356573   0.24325081  0.05700749  0.42351863  0.57654787,-0.14202297327 0.10044055  0.86122261  0.54020787  0.86172091  0.31532991  0.55365417
  0.8811512   0.57176244  0.87334202  0.22774731  0.106329    0.66149337,0.591529050727 0.96179727  0.49199148  0.8447823   0.81314961  0.1535953   0.99236803
  0.13225551  0.97722062  0.58401441  0.78379434  0.04923278  0.67485091,-0.625756474901 0.64985381  0.772486    0.04655773  0.00884045  0.92324321  0.76547475
  0.77224718  0.34292026  0.98940028  0.35865703  0.02520407  0.78308716,0.48890279075 0.60548775  0.14002407  0.66278609  0.36857061  0.32167157  0.23489686
  0.86235328  0.96416277  0.70390553  0.82024114  0.92877096  0.7394312 ,-0.578747391004 0.7250906   0.66914897  0.68224708  0.60140583  0.2341104   0.05346441
  0.6609333   0.21579679  0.25211222  0.95868099  0.98313494  0.06253975,-0.424051997458 0.44760285  0.88242722  0.26120923  0.57372057  0.56352762  0.43614962
  0.26719883  0.26184814  0.82452482  0.38726419  0.24934673  0.43440294,-0.0029193824176 0.82521997  0.19988042  0.31863287  0.25512294  0.102532    0.70974315
  0.18038646  0.31725521  0.79404562  0.36580438  0.46851584  0.28321201,-0.382149533296 0.10808828  0.83451114  0.1157932   0.56622855  0.55133359  0.0188245
  0.03030258  0.751851    0.49951831  0.55397591  0.4959562   0.79940683,-0.10069323757 0.85595778  0.54808973  0.62026736  0.98246402  0.82656908  0.35680603
  0.60796155  0.64134807  0.80327895  0.8503043   0.37253503  0.22882131,-0.0567972600149 0.83688506  0.08411004  0.06850388  0.9017894   0.89393532  0.13865334
  0.04362206  0.7071754   0.21903022  0.02548853  0.48785776  0.14471183,-0.575505163775 0.8747524   0.96535678  0.66779562  0.90034194  0.18036073  0.94931615
  0.46116266  0.91732041  0.55664211  0.86375828  0.18653247  0.67560691,-0.522337952791 0.80827702  0.39532242  0.70135662  0.53584269  0.79124792  0.55540128
  0.91524409  0.72053021  0.37432473  0.02992904  0.09167087  0.25693842,0.614207960176 0.37845936  0.54645617  0.24879004  0.5877915   0.51860788  0.0060204
  0.14573618  0.80739295  0.02708809  0.56423979  0.28510061  0.27836522,0.554168687319 0.24230692  0.55022905  0.22484632  0.48877223  0.48440747  0.51358137
  0.04591421  0.63475963  0.08378647  0.99416892  0.14052364  0.96204721,-0.0578620560128  1.81690151e-04   3.92036840e-01   7.99715911e-01   6.84259723e-01
   4.19314036e-01   3.28460790e-01   1.74115198e-01   3.80154631e-01
   9.82047549e-01   9.41097577e-01   7.76109003e-01   1.50290769e-01,0.389382713548 0.50538088  0.19876644  0.95953349  0.2582702   0.47119889  0.79340842
  0.54153468  0.38768389  0.22796135  0.33791403  0.07349058  0.41350835,0.880717624644 0.97826481  0.07864297  0.28922724  0.97169435  0.40640407  0.22437559
  0.07458905  0.30916401  0.13399611  0.51524153  0.30603169  0.45798404,0.478468719339 0.58335691  0.03006482  0.18987828  0.41271169  0.85033778  0.55485438
  0.7096136   0.08061604  0.88454561  0.78434243  0.91083721  0.05523922,0.322404014043 0.73839768  0.51597507  0.14998549  0.37078965  0.99243331  0.78561667
  0.71050071  0.78135443  0.52749508  0.32410663  0.05863453  0.09325168,0.00732939709162 0.80430017  0.40682851  0.74304943  0.71722604  0.02758007  0.61395896
  0.56965522  0.75512197  0.22133241  0.07132834  0.41894241  0.00778922,-0.900056411992 0.64813193  0.70412029  0.29465572  0.4202214   0.40848353  0.4290817
  0.2492896   0.95732183  0.90022103  0.96765053  0.4240004   0.38565848,-0.181358575147 0.86290753  0.14149585  0.18713237  0.10853503  0.29330742  0.52428827
  0.88740476  0.9457822   0.2780477   0.99236915  0.79521745  0.39418556,-0.0735878249229 0.05459106  0.94730001  0.47553118  0.78927593  0.93493536  0.66367121
  0.43996118  0.48977322  0.77554404  0.79693664  0.86606234  0.93327829,0.556748768813 0.58324955  0.50027562  0.04685428  0.83122257  0.37527236  0.55267155
  0.54993179  0.30017697  0.18638921  0.8406529   0.48258641  0.78915457,0.296460965153 0.74440481  0.4742564   0.70419433  0.9631686   0.48389634  0.06067488
  0.06825619  0.97500808  0.13884952  0.90091907  0.46030446  0.92074811,0.14425530008
